"GlobalID","n_permit_17"
"{01D32550-BBC8-4229-B31B-7CC88ADE1A48}",1
"{03AB305C-9B59-4B45-9BAD-D2FD187825FC}",1
"{03BCF8FF-CF49-4A62-993F-B3AAE6E19CA1}",1
"{041F5F22-D74E-4229-B7B3-5CBA52C33C80}",1
"{05B41434-2182-4DC3-8FD5-AD11399D69F9}",1
"{07DB5684-51AF-4253-8E2B-67B17FA09241}",1
"{08C1FF9C-E70A-453C-AF6F-6C630426ECE4}",1
"{0A19D387-6FD8-41E7-9CF8-BD48687D0BA7}",1
"{0A7F747D-0440-4738-85F9-F64A4C470A83}",1
"{0BFC4203-FB2E-4E82-8D09-AFD3B8644E21}",1
"{0C5CFEE0-102C-492F-9C6B-01066E5B2423}",1
"{0E143C24-4BFA-4FE8-8BE6-4C1DE8087BD1}",1
"{0EF6A5E5-EB1E-4FF6-A3DF-6D6C170AE65B}",1
"{0F7E35E4-DA59-439A-91B9-1B2ABF54D87B}",1
"{12542E8E-91A7-413C-9546-369A7EBE3199}",1
"{12FCBD55-B044-4A6D-8652-C9ED3258889E}",1
"{13440BAB-5B41-4BE5-A0BE-6A69F6719773}",1
"{141405A6-F995-4DEA-9E22-754767CD8372}",1
"{16CE0540-1B23-4812-BAAC-854CD52DBE4A}",1
"{17901408-4BA6-4B7C-8942-F6BC7D434F07}",1
"{1892D602-2817-4EB5-B425-0DA79717BA08}",1
"{18E7A67D-8669-4D65-8EE3-685D4D81A800}",6
"{1C07BFFD-93FF-4FDD-BF1C-9271C948209E}",1
"{1D470F7F-F340-4399-9480-96DCF66A5659}",1
"{1DC990BA-7258-426F-B121-843D45E13EC6}",1
"{1F3130BC-54A9-471A-B635-C5AA9185905D}",1
"{1F356BE6-DB08-4339-B726-1E9C51008EFA}",2
"{1F418EE5-26FD-4A4F-B21A-9402D702B5E5}",1
"{20B0B2E5-9A57-4E04-A926-592206DB508F}",1
"{21547C9D-62C3-4EF5-AA25-5A751D198479}",1
"{227B3436-3859-4105-814A-A3D4755CBD44}",1
"{22A32571-2986-43D8-BF0F-E839271E29DA}",1
"{22BED5E5-0B0A-4FD6-BE09-A1CBECA4BE52}",1
"{22E1B493-5D32-454A-9EAC-8CE8196057A0}",1
"{24E8484D-037B-4E44-AC89-57D6F68377FF}",1
"{2676A01C-6706-41EC-80AC-0F997AFE8BA2}",1
"{26B38641-FAF3-4A43-8614-6BA82334021A}",1
"{271A35D2-B47C-42B9-B007-719EE5D7CB62}",1
"{2739906E-B3D9-4C98-966B-F294463F6499}",1
"{27F5AF78-7120-4BC1-9229-6DC30D58E637}",1
"{281902A3-8C9B-4746-ACB3-7217DE0C9851}",1
"{296F55E3-CA00-4DBF-AA90-F66031F37F83}",1
"{29857BA0-0303-466E-89E0-744C4479147D}",1
"{29AED533-8C58-49BE-8DB9-F196A1166D39}",1
"{2AEEB9D1-C2A0-43AE-99A5-9CBA37D27CCF}",1
"{2C04A819-E333-480B-9732-8BE0046D2983}",1
"{2C31BC54-2FF0-41D7-8955-B4AF8BAEF24C}",2
"{2DFDAC6A-A1F2-45D0-BA86-ADE2FD13BB75}",1
"{2F239FD7-8F45-49B3-B73D-66C79708070B}",1
"{2F68DF0E-E9D2-4F40-8951-7018B927EE5F}",1
"{30ABF73E-AB3A-495F-BAFA-F41A9FC9E5F1}",1
"{30AE6CF9-C715-4F0D-BDD6-ED857B8E80D7}",1
"{3199E606-288A-47AB-9DE6-E4F83935662C}",2
"{326D25CF-E809-4157-9EEC-159AB3647C11}",1
"{33155C71-1CA2-4989-B279-044D583E1CA5}",3
"{3470BE44-CA45-47DF-A232-2E6638E01BBC}",1
"{368FC250-933E-4ED8-88A8-CA76B5457E35}",1
"{379A9995-53F7-4826-AFF3-5AB1D5D797F4}",1
"{38301B1F-9E21-4971-9D05-775A14C8836A}",1
"{38B22F1A-F943-49D9-8C1D-23ECC4FB93EE}",1
"{3950260C-F358-4D40-828F-6D41EA8CFF13}",1
"{3B64B544-253D-4455-B80D-4895FB82F067}",1
"{3BCE5B4E-5004-4EC6-8B99-4FFF6E129357}",1
"{3BE30E2B-0C17-44B5-B083-FE13076155A6}",1
"{3BEA6AA5-C10A-4FBE-AE5C-EB95E225231F}",1
"{3C730D69-6A5C-4DA4-98F6-F67E2ED393F9}",1
"{3D045183-5D1A-404A-9A75-03D5882B3D3F}",1
"{3E273A36-B3FD-414A-BB0C-348B768B40F1}",1
"{427802CF-B242-4ECC-B0C5-7B61B473465E}",1
"{4414BC00-CDBC-486A-9F95-E04EF2497345}",1
"{4523C2F2-0AC2-4382-8243-FE83570FFAD5}",1
"{45A10726-2BD5-4B7C-AF58-433B1E4423EA}",1
"{48301CF0-F5CA-48F6-A3B5-900727120F8D}",1
"{48DFB784-4710-4763-9299-89A83C5D9114}",1
"{49F23406-4C23-4FF9-822F-B8D43DD31697}",1
"{4A84E526-7460-452B-BF88-3D8B92395869}",2
"{4B1DF78E-E060-47C7-924C-7AB47C8CA8C8}",1
"{4D5C3853-42FE-44D7-877B-62F524D9FEB1}",1
"{4FDA06EC-EDD4-4089-A668-BE03D80BDB19}",1
"{5004F908-844C-4259-BB31-5432A6FB9C80}",1
"{5061DA9A-1168-4AB5-B5B5-A001F68A240F}",1
"{506C3F62-D639-4431-8558-81268CFAB054}",1
"{524E1583-ADCE-4A54-8480-C858E81CEE3A}",1
"{5302177F-F266-4F21-9C2C-766A1FC938A9}",1
"{537F5142-CEB6-45AF-94B6-7A27B617CCC6}",1
"{5693D879-182A-4D67-811C-4D5189C3FB4A}",1
"{56C5F265-7989-4CF6-81B5-729C05AA62A6}",1
"{573712FF-E8A8-4921-8CF4-221C6C6374EC}",1
"{57DEB429-24C3-4098-BEE1-DDC6DE8456B3}",3
"{583D85CF-4D48-4540-8AC2-5D6967470DFB}",1
"{5A592A12-1C8C-4C4E-A685-4FF9AB2109B1}",1
"{5BC6A26F-8B4E-44B5-BF7A-DD6271DECA3C}",1
"{5C47C97A-655E-447F-B991-59AB522C782A}",2
"{5D56B74B-356C-42AD-9892-7FC9FFAB1B93}",1
"{60AC37CD-3315-4C09-9B4D-9DED89B9A478}",1
"{63633586-024F-43E2-94BC-2EAE466DA625}",1
"{64015C6F-6656-4235-94C2-E2681376C298}",1
"{64C763C2-595C-44ED-A306-47545CF92547}",1
"{66EA0D4E-DFC5-4439-81F5-7CECF1B27A52}",1
"{6816041A-D448-434D-A8C6-D5DEC0398B28}",1
"{69C2D85D-D8F8-42EA-8B7C-B186A6DB6A7B}",1
"{6C3E543D-794F-4303-92E9-3D0190E221DB}",1
"{6DAB406C-C53C-4482-9F01-C09597940FA5}",1
"{6E867172-FAF5-401C-B695-D8BA7D3E51CD}",1
"{6F0631C1-8254-458A-AAB2-247629DA04A7}",1
"{6F49B67B-5F16-493A-9C4A-50A76B110EB6}",1
"{6FCB1EF6-8F4E-4A9B-A684-0A57AECBA866}",1
"{7402DAE2-7CA5-4AC9-B685-6002D6E39051}",1
"{7418CDA9-82C8-4E48-A45B-49C887199590}",1
"{7855CD3C-E9FA-4D5C-86CA-9091C3D79818}",1
"{7DC538F6-BE4A-42C4-831B-575AC0BB41FC}",1
"{7F1CEB04-EC6D-43B1-BEB2-55FAC7E6D403}",1
"{803771BE-71BE-4E34-B8E2-D8C0F2C437D0}",1
"{809C4861-10D6-4EBE-BAAF-F9FBA66FF3FE}",1
"{820B3FA6-8FBE-476E-857A-0FEC4559F82F}",1
"{86BABB13-17A3-498A-9FC9-198B0002F0AC}",1
"{86BC24B9-F7F8-444F-823F-7D0DDE8E9CF4}",1
"{86C02A07-C046-45EA-9E5A-A6694F0CECC5}",1
"{86FF0E38-DC0A-489E-B1E7-E6BAE781408F}",1
"{889EA91E-5CE3-4A73-9CBB-16EB4ECF37F3}",1
"{895D7A80-D3DA-494C-B16B-BC3F599B5A96}",1
"{89881986-80E1-4EAC-A7F5-29A967C13F71}",1
"{8B9C1DEB-9086-4DCD-9C5A-2DA75F2EC7BE}",1
"{8DA225C1-5712-4E11-8349-62608DF08F6D}",1
"{8DC4164E-2F77-4DA9-83EF-9333789DDA6D}",1
"{8F89B25C-0780-4CD3-B32D-2F8C7666CD8B}",1
"{8FB3A744-2AC3-4188-A3CE-7A504CA8D890}",1
"{9191B18B-DF91-494A-B7B6-59298EA4D4A7}",1
"{923B4034-44BE-4C73-BD43-0E15BC802D29}",1
"{93B64B1C-592B-4DEB-8AB3-6B807501DB97}",1
"{942944A0-D6E2-446C-8B04-3FE96C515A94}",1
"{95DB5DCB-5D41-400B-A0B8-AF5DE80292E4}",1
"{9677BB97-9427-4022-B379-ECB79E5892D9}",1
"{972C5CA6-EF33-4669-B0F0-4BE8298163B8}",1
"{98B89285-7284-446F-8275-93F251ECA5FD}",1
"{9B015A8E-B5CD-4C9C-8B9D-9C1A42F0547C}",1
"{A08E1FF5-52F6-455F-A920-933488E742AB}",1
"{A0C63BB0-2625-4F47-97C9-7BB24AD1A72F}",1
"{A32F19A3-5A4A-413A-86B8-D12B7C3C4AB8}",1
"{A3EA8E29-A71B-4A98-BF90-E194027F5EB8}",6
"{A4A96A3B-68AA-48B8-BA50-3B69BDBE213F}",1
"{A5F112CD-0DB0-43E0-B1D9-2E7A53B758E5}",1
"{A9383060-289E-432A-AF26-EDDFE78F1D3F}",1
"{A9C5B2EB-6D06-49D4-89A6-7732A3CAD987}",1
"{ABC94AAA-D038-4828-A121-0C09DA714734}",1
"{AD81ED00-E746-4A35-A936-EFE5A90B78E3}",1
"{AD941A1A-5101-48D1-90FC-949CDACEDB4F}",1
"{ADF6ACA3-21B6-4A79-A85A-D1BBE9FB7C48}",1
"{AFCAD875-F99D-47C9-88A9-0DFF7D080C89}",1
"{B0948C55-B6B5-47EC-9D79-355BEA1D5C03}",1
"{B3E745EB-DEA3-48E1-9B5A-92EEFAAD433B}",3
"{B53FCB8E-5F35-4A45-B9C3-DC07D786D433}",1
"{B5567F3B-FC8A-4A05-AA62-0EFA07D2BC57}",1
"{B6D518F6-7754-462D-9CDC-89D0B8DBD4C4}",1
"{B91931D2-D0D6-4A4B-847D-33798E4DBA7A}",1
"{BD5766E0-71A5-4E19-9E8A-FAD2F98AEE19}",1
"{BD986BB2-8D05-454F-921D-A37156CDAABF}",1
"{BFCE8E01-D8DB-4B3A-975D-6D42660F25B5}",1
"{C2BC3A30-060C-4280-975D-8F41D1D89897}",1
"{C2F32134-EB8B-4C2D-ABB5-08D5604688AA}",1
"{C3E1B2D1-D44E-4ABB-8CC5-5E908CECC289}",1
"{C5632F2C-D4CD-4F38-B32E-B3ED8E505788}",1
"{C570064B-8F82-4262-9DFC-CC21C1A72AB6}",1
"{C6316066-4C5F-4F55-A711-D7CB40EFFA24}",1
"{C6B2C607-1767-4ABC-ADC1-8BFD335F1A75}",1
"{C7BE225A-BA44-40AA-B1EC-CEBED4CB9BD1}",1
"{C8A7A7DD-C8B5-470A-A42B-92BF16200242}",1
"{C962BFD7-B91C-4AC9-B692-EC50DFCFAC78}",1
"{CAB4F69D-15D6-4793-9C8F-DEB996988625}",1
"{CE0F30BF-5706-40E2-B269-BCFA875098CB}",1
"{D1ACB5E0-D7D9-470C-A21C-E24B22ABA2DA}",1
"{D418F54D-68EA-4263-A2D6-6722F5BD6853}",1
"{D51A48B1-D634-464A-8B97-EAB0D7F5D542}",2
"{D51A9989-B005-42A0-A3A4-87B9C3BD555F}",10
"{D56286F0-88EC-4166-A3DE-18D9E7EC07A8}",1
"{D5C27723-D8B8-402C-A5EE-30D3BF3B25D2}",1
"{D6ACB24B-ADD3-449C-971C-A84CDE4A79B3}",1
"{D9AC1AF1-A2B7-4004-9D2C-8BC712220398}",1
"{DB25B220-9AAB-422F-BA87-49D77B52D340}",1
"{DD06B1BC-E9CB-4A50-9B30-6FDA6A0F7A0E}",12
"{DE55661F-D06C-47C7-8821-3B500B38DA0D}",1
"{DEC13DB2-CB4E-4A3F-BCC1-3D68D98F4A08}",1
"{E088CE42-6F67-433A-8456-4A57AADDA4E9}",1
"{E3C1FBBF-8C8B-4D98-893B-A1066D077F05}",1
"{E3EDF3A3-DCFE-4E70-903E-E078482319FB}",1
"{E4C14BED-109D-4D99-9374-568D3E91D57D}",1
"{E64B4C03-AD8A-40DA-A178-3A192EBA966D}",1
"{E806E91E-ED97-40D5-BD53-538AFEB86544}",1
"{EA759DB3-0D50-435C-BDB9-AC8C1079962B}",1
"{EA9415BE-0636-4E8C-9CFE-3F70AFC4D535}",1
"{EB0A2B8C-9C84-417A-BD65-F140BE8E78C6}",1
"{EC7C49B0-2F5D-45E3-BC90-19F8F6C0F56C}",8
"{EEFD2CCB-8589-47D3-B3CF-2E7BC16AAA9A}",1
"{F08875B3-1CF3-40F4-B242-7F800D954EF7}",1
"{F1190B2A-8004-474B-AE5B-91B9748D633E}",1
"{F18E9EE7-CE6D-4583-B686-CB726B074809}",1
"{F6FC6900-034A-4347-A6D9-D5DFE797BDE5}",1
"{FB636E7E-1158-45D7-B219-DF46A3A60064}",1
"{FC0DEBF8-7074-41A9-ABFD-39BBD2A37BC0}",1
"{FF01F150-8EF9-4ADD-ABF9-779E303251D3}",2
"{FF70AFC2-914C-4E17-A367-05355CD94011}",1
NA,50
